epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1363,0.96857,3.43985,0.28181,0.00768,0.5,0.059,0.01545,0.77861,1.23347,0.33885,0.00328767,0.00328767,0.070411
2,52.9944,0.63849,0.97373,0.1594,0.18379,0.42857,0.20265,0.06537,nan,nan,nan,0.00657731,0.00657731,0.0403673
3,78.6284,0.65047,0.96446,0.15855,0.11773,0.39286,0.09796,0.03268,0.61135,1.19367,0.20823,0.00982294,0.00982294,0.0102796
4,103.255,0.72175,0.86786,0.16913,0.16041,0.35714,0.18564,0.07126,0.53279,1.30215,0.16429,0.009802,0.009802,0.009802
5,128.52,0.60608,0.96778,0.14038,0.17446,0.83036,0.34706,0.12241,0.35299,1.54361,0.1155,0.009736,0.009736,0.009736
6,153.481,0.64185,0.92638,0.15422,0.18237,0.34821,0.13894,0.06162,0.4293,1.29073,0.15504,0.00967,0.00967,0.00967
7,178.111,0.59472,0.96854,0.14437,0.07853,0.64286,0.12434,0.05945,0.40154,1.27704,0.14615,0.009604,0.009604,0.009604
8,202.8,0.51016,1.01753,0.12135,0.0566,0.02679,0.00997,0.00831,nan,nan,nan,0.009538,0.009538,0.009538
9,227.694,0.51919,1.04768,0.12283,0.1174,0.32143,0.07989,0.02028,nan,nan,nan,0.009472,0.009472,0.009472
10,252.278,nan,nan,nan,0,0,0,0,nan,nan,nan,0.009406,0.009406,0.009406
11,274.958,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00934,0.00934,0.00934
12,297.878,nan,nan,nan,0,0,0,0,nan,nan,nan,0.009274,0.009274,0.009274
13,320.632,nan,nan,nan,0,0,0,0,nan,nan,nan,0.009208,0.009208,0.009208
14,343.261,nan,nan,nan,0,0,0,0,nan,nan,nan,0.009142,0.009142,0.009142
15,366.064,nan,nan,nan,0,0,0,0,nan,nan,nan,0.009076,0.009076,0.009076
16,388.76,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00901,0.00901,0.00901
17,411.528,nan,nan,nan,0,0,0,0,nan,nan,nan,0.008944,0.008944,0.008944
18,434.317,nan,nan,nan,0,0,0,0,nan,nan,nan,0.008878,0.008878,0.008878
19,457.067,nan,nan,nan,0,0,0,0,nan,nan,nan,0.008812,0.008812,0.008812
20,479.557,nan,nan,nan,0,0,0,0,nan,nan,nan,0.008746,0.008746,0.008746
21,502.195,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00868,0.00868,0.00868
22,547.946,0.62642,0.93093,0.14603,0.1174,0.32143,0.07989,0.02028,nan,nan,nan,0.008614,0.008614,0.008614
23,572.529,0.49588,0.99204,0.1139,0.18928,0.59821,0.23753,0.15438,nan,nan,nan,0.008548,0.008548,0.008548
24,597.507,0.46424,0.96262,0.11259,0.27478,0.44643,0.30186,0.13701,nan,nan,nan,0.008482,0.008482,0.008482
25,622.161,0.45349,1.04879,0.10112,0.23482,0.63393,0.29958,0.15845,nan,nan,nan,0.008416,0.008416,0.008416
26,646.978,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00835,0.00835,0.00835
27,670.191,nan,nan,nan,0,0,0,0,nan,nan,nan,0.008284,0.008284,0.008284
28,693.31,nan,nan,nan,0,0,0,0,nan,nan,nan,0.008218,0.008218,0.008218
29,716.702,nan,nan,nan,0,0,0,0,nan,nan,nan,0.008152,0.008152,0.008152
30,739.959,nan,nan,nan,0,0,0,0,nan,nan,nan,0.008086,0.008086,0.008086
31,763.168,0.41462,0.92297,0.09329,0,0,0,0,nan,nan,nan,0.00802,0.00802,0.00802
32,786.353,0.44784,1.03552,0.10145,0,0,0,0,nan,nan,nan,0.007954,0.007954,0.007954
33,809.649,0.43508,1.11377,0.09841,0,0,0,0,nan,nan,nan,0.007888,0.007888,0.007888
34,832.733,nan,nan,nan,0,0,0,0,nan,nan,nan,0.007822,0.007822,0.007822
35,855.886,0.3827,1.44828,0.08569,0,0,0,0,nan,nan,nan,0.007756,0.007756,0.007756
36,878.794,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00769,0.00769,0.00769
37,901.798,nan,nan,nan,0,0,0,0,nan,nan,nan,0.007624,0.007624,0.007624
38,924.65,nan,nan,nan,0,0,0,0,nan,nan,nan,0.007558,0.007558,0.007558
39,947.514,nan,nan,nan,0,0,0,0,nan,nan,nan,0.007492,0.007492,0.007492
40,970.344,nan,nan,nan,0,0,0,0,nan,nan,nan,0.007426,0.007426,0.007426
41,993.344,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00736,0.00736,0.00736
42,1016.23,nan,nan,nan,0,0,0,0,nan,nan,nan,0.007294,0.007294,0.007294
43,1039.2,nan,nan,nan,0,0,0,0,nan,nan,nan,0.007228,0.007228,0.007228
44,1062.26,nan,nan,nan,0,0,0,0,nan,nan,nan,0.007162,0.007162,0.007162
45,1085.09,nan,nan,nan,0,0,0,0,nan,nan,nan,0.007096,0.007096,0.007096
46,1107.79,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00703,0.00703,0.00703
47,1130.72,nan,nan,nan,0,0,0,0,nan,nan,nan,0.006964,0.006964,0.006964
48,1176.2,0.53335,0.87821,0.13489,0.23482,0.63393,0.29958,0.15845,nan,nan,nan,0.006898,0.006898,0.006898
49,1201.23,0.45645,0.9251,0.10307,0.2898,0.39286,0.28747,0.18979,nan,nan,nan,0.006832,0.006832,0.006832
50,1226.08,nan,nan,nan,0,0,0,0,nan,nan,nan,0.006766,0.006766,0.006766
51,1249,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0067,0.0067,0.0067
52,1272.24,nan,nan,nan,0,0,0,0,nan,nan,nan,0.006634,0.006634,0.006634
53,1295.25,nan,nan,nan,0,0,0,0,nan,nan,nan,0.006568,0.006568,0.006568
54,1318.25,nan,nan,nan,0,0,0,0,nan,nan,nan,0.006502,0.006502,0.006502
55,1341.26,nan,nan,nan,0,0,0,0,nan,nan,nan,0.006436,0.006436,0.006436
56,1364.21,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00637,0.00637,0.00637
57,1387.27,nan,nan,nan,0,0,0,0,nan,nan,nan,0.006304,0.006304,0.006304
58,1410.18,nan,nan,nan,0,0,0,0,nan,nan,nan,0.006238,0.006238,0.006238
59,1433.23,nan,nan,nan,0,0,0,0,nan,nan,nan,0.006172,0.006172,0.006172
60,1456.26,nan,nan,nan,0,0,0,0,nan,nan,nan,0.006106,0.006106,0.006106
61,1479.27,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00604,0.00604,0.00604
62,1502.25,nan,nan,nan,0,0,0,0,nan,nan,nan,0.005974,0.005974,0.005974
63,1525.2,nan,nan,nan,0,0,0,0,nan,nan,nan,0.005908,0.005908,0.005908
64,1548.03,nan,nan,nan,0,0,0,0,nan,nan,nan,0.005842,0.005842,0.005842
65,1570.99,nan,nan,nan,0,0,0,0,nan,nan,nan,0.005776,0.005776,0.005776
66,1616.5,nan,nan,nan,0.2898,0.39286,0.28747,0.18979,nan,nan,nan,0.00571,0.00571,0.00571
67,1641.31,0.44524,0.86514,0.10375,0,0,0,0,nan,nan,nan,0.005644,0.005644,0.005644
68,1664.71,nan,nan,nan,0,0,0,0,nan,nan,nan,0.005578,0.005578,0.005578
69,1687.84,0.43241,0.95317,0.09311,0,0,0,0,nan,nan,nan,0.005512,0.005512,0.005512
70,1711.04,nan,nan,nan,0,0,0,0,nan,nan,nan,0.005446,0.005446,0.005446
71,1734.06,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00538,0.00538,0.00538
72,1757.14,nan,nan,nan,0,0,0,0,nan,nan,nan,0.005314,0.005314,0.005314
73,1780.23,nan,nan,nan,0,0,0,0,nan,nan,nan,0.005248,0.005248,0.005248
74,1803.49,nan,nan,nan,0,0,0,0,nan,nan,nan,0.005182,0.005182,0.005182
75,1826.53,nan,nan,nan,0,0,0,0,nan,nan,nan,0.005116,0.005116,0.005116
76,1849.63,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00505,0.00505,0.00505
77,1872.86,nan,nan,nan,0,0,0,0,nan,nan,nan,0.004984,0.004984,0.004984
78,1896.26,nan,nan,nan,0,0,0,0,nan,nan,nan,0.004918,0.004918,0.004918
79,1919.36,nan,nan,nan,0,0,0,0,nan,nan,nan,0.004852,0.004852,0.004852
80,1942.52,nan,nan,nan,0,0,0,0,nan,nan,nan,0.004786,0.004786,0.004786
81,1965.86,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00472,0.00472,0.00472
82,1988.99,nan,nan,nan,0,0,0,0,nan,nan,nan,0.004654,0.004654,0.004654
83,2012.33,nan,nan,nan,0,0,0,0,nan,nan,nan,0.004588,0.004588,0.004588
84,2035.54,nan,nan,nan,0,0,0,0,nan,nan,nan,0.004522,0.004522,0.004522
85,2058.81,nan,nan,nan,0,0,0,0,nan,nan,nan,0.004456,0.004456,0.004456
86,2081.96,1.28684,2.2443,0.33155,0,0,0,0,nan,nan,nan,0.00439,0.00439,0.00439
87,2105.2,nan,nan,nan,0,0,0,0,nan,nan,nan,0.004324,0.004324,0.004324
88,2128.38,nan,nan,nan,0,0,0,0,nan,nan,nan,0.004258,0.004258,0.004258
89,2151.67,nan,nan,nan,0,0,0,0,nan,nan,nan,0.004192,0.004192,0.004192
90,2174.84,nan,nan,nan,0,0,0,0,nan,nan,nan,0.004126,0.004126,0.004126
91,2197.97,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00406,0.00406,0.00406
92,2221.19,nan,nan,nan,0,0,0,0,nan,nan,nan,0.003994,0.003994,0.003994
93,2244.52,1.29503,2.28277,0.33767,0,0,0,0,nan,nan,nan,0.003928,0.003928,0.003928
94,2267.76,nan,nan,nan,0,0,0,0,nan,nan,nan,0.003862,0.003862,0.003862
95,2290.87,nan,nan,nan,0,0,0,0,nan,nan,nan,0.003796,0.003796,0.003796
96,2314.14,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00373,0.00373,0.00373
97,2337.51,nan,nan,nan,0,0,0,0,nan,nan,nan,0.003664,0.003664,0.003664
98,2360.56,nan,nan,nan,0,0,0,0,nan,nan,nan,0.003598,0.003598,0.003598
99,2383.71,nan,nan,nan,0,0,0,0,nan,nan,nan,0.003532,0.003532,0.003532
